name,industry,market_cap,employees,country,headquarters,address,sector,ceo,founded,founders,share_price,website,stock,area_served,revenue
RIOCAN REAL ESTATE INVESTMENT TRUST," Real Estate, Property Investments, Rent / Lease Services, Construction, Retail, Commercial Properties",5.646 Billion USD,,Canada,,,,Not found,1981,,,,,,932 Million USD
"VERISILICON MICROELECTRONICS (SHANGHAI) CO., LTD."," Technology, Semiconductors",5.429 Billion USD,,China,,,,Not found,Not found,,,,,,336 Million USD
CAMBRICON TECHNOLOGIES CORPORATION LIMITED," Technology, Software and IT",5.377 Billion USD,,China,,,,Not found,Not found,,,,,,113 Million USD
FLUGHAFEN ZURICH AG," Industries, Infrastructure, Airports Operating",5.193 Billion USD,,Switzerland,,,,Not found,2000,,,,,,728 Million USD
SIMPSON MANUFACTURING," Industries, Capital Goods, Machinery Manufacturing, Manufacturing, Building Products and Equipment",4.975 Billion USD,,USA,,,,Not found,1956,,,,,,"1,573 Million USD"
CROWN RESORTS," Consumer Cyclical, Resorts, Hotels, Entertainment",4.650 Billion USD,,Australia,,,,Not found,2007,,,,,,"1,054 Million USD"
SHANDONG WEIGAO GROUP MEDICAL POLYMER COMPANY," Healthcare, Medical Equipment, HealthCare Products",7.948 Billion USD,,China,,,,Not found,Not found,,,,,,"2,064 Million USD"
NANJING SECURITIES," Financial Services, Securities, Brokerage Services, Stock Markets, Trading, Capital Markets, Asset Management",5.917 Billion USD,,China,,,,Not found,Not found,,,,,,394 Million USD
WALLENSTAM AB (PUBL), Real Estate,5.881 Billion USD,,Sweden,,,,Not found,1944,,,,,,246 Million USD
UNUM GROUP," Financial Services, Insurance",5.441 Billion USD,,USA,,,,Not found,1848,,,,,,"11,853 Million USD"
ACRON," Basic Materials, Chemicals, Fertilizers, Agriculture Related",3.408 Billion USD,,Russia,,,,Not found,1961,,,,,,"1,970 Million USD"
GRUPO AVAL ACCIONES Y VALORES," Financial Services, Banking Services",6.551 Billion USD,,Colombia,,,,Not found,1994,,,,,,"5,773 Million USD"
CENTRAL RETAIL CORPORATION, Retail,6.310 Billion USD,,Thailand,,,,Not found,1947,,,,,,"5,399 Million USD"
JCDECAUX SA," Communication Services, Advertising, Business Services",6.038 Billion USD,,France,,,,Not found,1964,,,,,,"2,521 Million USD"
OWL ROCK CAPITAL CORPORATION," Financial Services, Provides Loans",5.726 Billion USD,,USA,,,,Not found,2015,,,,,,688 Million USD
ORION OYJ," Healthcare, Pharmaceutical, Healthcare",5.714 Billion USD,,Finland,,,,Not found,1917,,,,,,"1,148 Million USD"
NOVANTA," Technology, Medical Equipment, Technology Hardware and Instruments",5.422 Billion USD,,USA,,,,Not found,1968,,,,,,706 Million USD
ETN. FR. COLRUYT NV," Consumer Defensive, Retail, Super Markets",7.572 Billion USD,,Belgium,,,,Not found,1928,,,,,,"10,046 Million USD"
SEVEN GROUP HOLDINGS," Industries, Investments, Media, Mining, Construction, Rent / Lease Services, Conglomerate",5.688 Billion USD,,Australia,,,,Not found,1991,,,,,,"5,547 Million USD"
WINNER MEDICAL CO. LIMITED," Medical Equipment, Healthcare",5.142 Billion USD,,China,,,,Not found,Not found,,,,,,"1,181 Million USD"
WINTRUST FINANCIAL CORPORATION," Financial Services, Banking Services",4.269 Billion USD,,USA,,,,Not found,1991,,,,,,"1,707 Million USD"
SPARK NEW ZEALAND," Communication Services, Telecom, Mobile Services, Fixed Line Service, Internet Providers",6.519 Billion USD,,New Zealand,,,,Not found,1987,,,,,,"2,277 Million USD"
HENGTONG OPTIC-ELECTRIC," Technology, Software and IT, Network Hardware and Software, Electrical Products, Cables and Wires, Communications Equipment, Optical Fiber",4.450 Billion USD,,China,,,,Not found,Not found,,,,,,"6,006 Million USD"
LONGSHINE TECHNOLOGY," Technology, Software and IT",2.913 Billion USD,,China,,,,Not found,Not found,,,,,,728 Million USD
FAR EASTERN NEW CENTURY CORPORATION," Consumer Cyclical, Textile",5.703 Billion USD,,Taiwan,,,,Not found,1942,,,,,,"8,189 Million USD"
HANGZHOU ROBAM APPLIANCES," Consumer Cyclical, Kitchen Appliances, Home Furnishing",5.214 Billion USD,,China,,,,Not found,Not found,,,,,,"1,593 Million USD"
BLACKLINE," Technology, Software and IT, Software Products, Software and IT Infrastructure",6.372 Billion USD,,USA,,,,Not found,2001,,,,,,425 Million USD
HINDUSTAN AERONAUTICS LIMITED," Aerospace and Defense, Technology, Aircrafts, Defense Products, Helicoptors, Aerospace Products, Technology Hardware and Instruments",6.319 Billion USD,,India,,,,Not found,1940,,,,,,"3,049 Million USD"
VOLTAS," Industries, Electronics, Industry Machinery, Consumer Durables, Home Appliances",4.846 Billion USD,,India,,,,Not found,1954,,,,,,981 Million USD
CHINA BAOAN GROUP," Industries, Batteries, Automobile Parts, Communications Equipment, Military Equipment, Real Estate, Chemicals, Fertilizers, Conglomerate",9.784 Billion USD,,China,,,,Not found,Not found,,,,,,"2,763 Million USD"
COSMOS PHARMACEUTICAL CORPORATION," Healthcare, Pharmaceutical, HealthCare Products, Pharmacy, Retail",7.027 Billion USD,,Japan,,,,Not found,1983,,,,,,"5,512 Million USD"
UNITED BREWERIES," Consumer Defensive, Conglomerate, Real Estate, Beverages, Alcoholic Beverages, Fertilizers, Infrastructure, FMCG",5.704 Billion USD,,India,,,,Not found,1857,,,,,,702 Million USD
CIFI HOLDINGS (GROUP)," Real Estate, Construction, Property Investments, Commercial Properties",5.698 Billion USD,,China,,,,Not found,Not found,,,,,,"16,926 Million USD"
TIMKEN COMPANY," Industries, Metal Fabrication Products, Capital Goods, Engineering Products, Engineering Services, Tools and Equipment",5.608 Billion USD,,USA,,,,Not found,1899,,,,,,"4,132 Million USD"
WESTERN SUPERCONDUCTING TECHNOLOGIES," Industries, Metal Fabrication Products",5.469 Billion USD,,China,,,,Not found,Not found,,,,,,426 Million USD
SHURGARD SELF STORAGE, Real Estate,5.356 Billion USD,,Luxembourg,,,,Not found,1995,,,,,,331 Million USD
STERLING BANCORP," Financial Services, Banking Services",4.411 Billion USD,,USA,,,,Not found,1888,,,,,,95 Million USD
COCA-COLA CONSOLIDATED," Consumer Defensive, Non-Alcoholic Beverages, Beverages",3.807 Billion USD,,USA,,,,Not found,1902,,,,,,"5,562 Million USD"
GRUPO TELEVISA," Communication Services, Media, Advertising, Broadcasting, Consumer Services",7.343 Billion USD,,Mexico,,,,Not found,1973,,,,,,"5,187 Million USD"
BAUSCH & LOMB CORP," Healthcare, Medical Equipment, Pharmaceutical, Eyewear",,,Canada,,,,Not found,1853,,,,,,"3,765 Million USD"
CHINA AIRLINES," Industries, Airlines, Aviation, Transportation",3.480 Billion USD,,Taiwan,,,,Not found,1959,,,,,,"4,761 Million USD"
LEGGETT & PLATT," Consumer Cyclical, Construction Materials, Consumer Durables, Home Furnishing",6.450 Billion USD,,USA,,,,Not found,1883,,,,,,"5,072 Million USD"
ROYAL UNIBREW A/S," Consumer Defensive, Alcoholic Beverages, Beverages",6.372 Billion USD,,Denmark,,,,Not found,1989,,,,,,"1,294 Million USD"
HELEN OF TROY," Consumer Defensive, Consumer Durables, FMCG",5.764 Billion USD,,USA,,,,Not found,1968,,,,,,"2,223 Million USD"
KRUNG THAI BANK PUBLIC COMPANY," Financial Services, Banking Services",4.811 Billion USD,,Thailand,,,,Not found,1966,,,,,,"3,220 Million USD"
SHANGHAI FRIENDESS ELECTRONIC TECHNOLOGY CORPORATION," Technology, Semiconductors",7.295 Billion USD,,China,,,,Not found,Not found,,,,,,143 Million USD
CHARGEPOINT HOLDINGS," Technology Hardware and Instruments, Electric Vehicles, Retail, Infrastructure, Electric Vehicle Charging Station",6.800 Billion USD,,USA,,,,Not found,2007,,,,,,241 Million USD
JIANGSU YOKE TECHNOLOGY," Technology, Semiconductors",5.687 Billion USD,,China,,,,Not found,Not found,,,,,,550 Million USD
WESTERN SECURITIES," Financial Services, Stock Markets, Trading, Capital Markets, Securities, Brokerage Services",5.565 Billion USD,,China,,,,Not found,Not found,,,,,,981 Million USD
TATA COMMUNICATIONS," Communication Services, Telecom",5.520 Billion USD,,India,,,,Not found,1986,,,,,,"2,093 Million USD"
HOWARD HUGHES CORPORATION," Real Estate, Consumer Services",5.055 Billion USD,,USA,,,,Not found,1913,,,,,,"1,427 Million USD"
MEDICOVER AB (PUBL)," Healthcare, Healthcare Service, Medical Laboratory, Hospitals",4.535 Billion USD,,Sweden,,,,Not found,Not found,,,,,,130 Million USD
TERNIUM ARGENTINA," Basic Materials, Iron and Steel",4.083 Billion USD,,Argentina,,,,Not found,2005,,,,,,"2,850 Million USD"
INTEGRA LIFESCIENCES HOLDINGS CORPORATION," Healthcare, Biotechnology, Medical Equipment, Technology, Capital Goods",6.363 Billion USD,,USA,,,,Not found,1969,,,,,,"1,542 Million USD"
OBAYASHI CORPORATION," Industries, Real Estate, Construction",6.021 Billion USD,,Japan,,,,Not found,1936,,,,,,"14,031 Million USD"
AUROBINDO PHARMA," Healthcare, Pharmaceutical, HealthCare Products",5.985 Billion USD,,India,,,,Not found,1986,,,,,,"2,925 Million USD"
HEBEI YANGYUAN ZHIHUI BEVERAGE," Consumer Defensive, Non-Alcoholic Beverages, Beverages",5.979 Billion USD,,China,,,,Not found,Not found,,,,,,"1,005 Million USD"
ICADE," Real Estate, Investments, Property Investments",6.587 Billion USD,,France,,,,Not found,1954,,,,,,"1,831 Million USD"
ARDAGH METAL PACKAGING S.A.," Consumer Cyclical, Packaging",6.461 Billion USD,,Luxembourg,,,,Not found,1932,,,,,,"4,055 Million USD"
TMX GROUP," Financial Services, Stock Markets, Trading, Capital Markets",6.174 Billion USD,,Canada,,,,Not found,2008,,,,,,820 Million USD
PSP SWISS PROPERTY AG," Real Estate, Property Investments, Commercial Properties, Construction",6.154 Billion USD,,Switzerland,,,,Not found,1999,,,,,,862 Million USD
RAYONIER," Real Estate, Consumer Services, Wood Products, Property Investments",5.206 Billion USD,,USA,,,,Not found,1926,,,,,,"1,109 Million USD"
LUPIN," Healthcare, HealthCare Products, Pharmaceutical",6.103 Billion USD,,India,,,,Not found,1968,,,,,,"2,027 Million USD"
KUALA LUMPUR KEPONG BERHAD," Consumer Defensive, Farming / Seeds / Milling",5.444 Billion USD,,Malaysia,,,,Not found,1906,,,,,,"4,702 Million USD"
JINDAL STEEL & POWER," Basic Materials, Iron and Steel, Metals, Mining, Infrastructure",5.317 Billion USD,,India,,,,Not found,1979,,,,,,"6,394 Million USD"
NAVINFO," Technology, Software and IT",3.805 Billion USD,,China,,,,Not found,Not found,,,,,,445 Million USD
"THERALINK TECHNOLOGIES, INC."," Healthcare, Biotechnology",1.629 Billion USD,,USA,,,,Not found,2005,,,,,,1 Million USD
KANSAI PAINT," Basic Materials, Paints and Coatings, Chemicals",6.720 Billion USD,,Japan,,,,Not found,1918,,,,,,"3,059 Million USD"
"LUMINAR TECHNOLOGIES, INC."," Technology, Software and IT",6.247 Billion USD,,USA,,,,Not found,2012,,,,,,31 Million USD
AVIC CAPITAL," Financial Services, Stock Markets, Trading, Capital Markets, Banking Services, Securities, Brokerage Services",5.392 Billion USD,,China,,,,Not found,Not found,,,,,,"2,995 Million USD"
"ADVANCED ENERGY SOLUTION HOLDING CO., LTD."," Industries, Electrical Products",2.669 Billion USD,,Taiwan,,,,Not found,Not found,,,,,,"1,455 Million USD"
HOCHTIEF," Industries, Real Estate, Infrastructure, Engineering Products, Engineering Services, Construction",5.601 Billion USD,,Germany,,,,Not found,1875,,,,,,"23,579 Million USD"
ASIA CEMENT CORPORATION," Basic Materials, Cement, Construction Materials",5.534 Billion USD,,Taiwan,,,,Not found,1957,,,,,,"3,074 Million USD"
QINGDAO PORT INTERNATIONAL," Industries, Shipping, Marine Transportation",5.406 Billion USD,,China,,,,Not found,Not found,,,,,,"2,527 Million USD"
BAWAG GROUP AG," Financial Services, Banking Services",5.384 Billion USD,,Austria,,,,Not found,2005,,,,,,"1,338 Million USD"
SHIN KONG FINANCIAL HOLDING," Financial Services, Insurance",4.480 Billion USD,,Taiwan,,,,Not found,2002,,,,,,"14,402 Million USD"
QUEBECOR," Communication Services, Telecom, Media, Advertising, Internet or Mobile App Based Business, Internet Providers",6.056 Billion USD,,Canada,,,,Not found,1965,,,,,,"3,611 Million USD"
AMN HEALTHCARE SERVICES," Healthcare, Technology, Professional Services, Hospitals",5.365 Billion USD,,USA,,,,Not found,1985,,,,,,"3,984 Million USD"
VISERA TECHNOLOGIES COMPANY LTD.," Technology, Semiconductors",4.742 Billion USD,,Taiwan,,,,Not found,2003,,,,,,298 Million USD
PT BARITO PACIFIC TBK," Basic Materials, Chemicals, Petrochemicals",6.654 Billion USD,,Indonesia,,,,Not found,1979,,,,,,"3,155 Million USD"
BENEFIT ONE," Industries, Outsourcing and Staffing",6.517 Billion USD,,Japan,,,,Not found,1996,,,,,,280 Million USD
HOME PRODUCT CENTER PUBLIC COMPANY," Consumer Cyclical, Retail, Home Improvement",5.748 Billion USD,,Thailand,,,,Not found,1995,,,,,,"1,835 Million USD"
PARADE TECHNOLOGIES," Technology, Semiconductors, Processors / Chips",5.479 Billion USD,,Cayman Islands,,,,Not found,2005,,,,,,686 Million USD
