,name,industry,market_cap,employees,country,headquarters,address,sector,ceo,founded,founders,share_price,website,stock,area_served,revenue
272,"Walgreens Boots Alliance, Inc.",Pharmaceutical Retailers,$40.55 B," 202,000",United States,"Deerfield,IL,UnitedStates",,Healthcare, Ms. Rosalind Gates Brewer," December 31, 2014",,,,WBA,,
273,"Digital Realty Trust, Inc.",REIT—Office,$40.64 B," 3,030",United States,"SanFrancisco,CA,UnitedStates",,Real Estate, Mr. Arthur William Stein, 2004,,,,DLR,,
274,Oversea-Chinese Banking Corp Ltd,Banks,$40.77 B," 29,622",Singapore,"Singapore,Singapore",,Financials,,,,,,O39,,
275,Carrier Global Corporation,Building Products & Equipment,$40.79 B," 58,000",United States,"PalmBeachGardens,FL,UnitedStates",,Industrials, Mr. David L. Gitlin," June 26, 1915",,,,CARR,,
276,The Bank of New York Mellon Corporation,Asset Management,$40.83 B," 49,100",United States,"NewYork,NY,UnitedStates",,Financials, Mr. Thomas P. Gibbons," July 1, 2007",,,,BK,,
277,"East Money Information Co.,Ltd.",Internet Content & Information,$40.83 B," 5,696",China,"Shanghai,China",,Communication Services,,,,,,300059,,
278,"Motorola Solutions, Inc.",Communication Equipment,$40.87 B," 18,700",United States,"Chicago,IL,UnitedStates",,Technology, Mr. Gregory Q. Brown," January 4, 2011",,,,MSI,,
279,MMC Norilsk Nickel PJSC,Other Industrial Metals & Mining,$41.16 B,,Russia,"Moscow,Russia",,Basic Materials,,,,,,GMKN,,
280,ING Groep N.V.,Banks,$41.25 B," 57,000",Netherlands,"Amsterdam,Netherlands",,Financials, Mr. Steven J. A. van Rijswijk,,,,,INGA,,
281,Valero Energy Corporation,Oil & Gas Refining & Marketing,$41.27 B," 9,794",United States,"SanAntonio,TX,UnitedStates",,Energy, Mr. Joseph W. Gorder," January 1, 1980",,,,VLO,,
282,Hang Seng Bank Limited,Banks,$41.47 B," 9,396",Hong Kong,"Central,HongKong",,Financials,,,,,,0011,,
283,The Allstate Corporation,Insurance—Property & Casualty,$41.54 B," 54,300",United States,"Northbrook,IL,UnitedStates",,Financials, Mr. Thomas Joseph Wilson II," April 17, 1931",,,,ALL,,
284,"The Williams Companies, Inc.",Oil & Gas Midstream,$41.60 B," 4,783",United States,"Tulsa,OK,UnitedStates",,Energy, Mr. Alan S. Armstrong, 1908,,,,WMB,,
285,Devon Energy Corporation,Oil & Gas E&P,$41.82 B," 1,600",United States,"OklahomaCity,OK,UnitedStates",,Energy, Mr. Richard E. Muncrief, 1971,,,,DVN,,
286,STMicroelectronics N.V.,Semiconductors,$41.91 B," 48,254",Switzerland,"Geneva,Switzerland",,Technology, Mr. Jean-Marc  Chery,,,,,STM,,
287,BioNTech SE,Biotechnology,$41.93 B," 2,800",Germany,"Mainz,Germany",,Healthcare, Prof. Ugur  Sahin M.D., 2008,,,,22UA,,
288,Manulife Financial Corporation,Insurance—Life,$41.98 B," 38,000",Canada,"Toronto,ON,Canada",,Financials, Mr. Rocco  Gori," June 23, 1887",,,,MFC,,
289,The Kroger Co.,Grocery Stores,$42.03 B," 500,000",United States,"Cincinnati,OH,UnitedStates",,Consumer Staples, Mr. William Rodney McMullen, 1883,,,,KR,,
290,Sysco Corporation,Food Distribution,$42.22 B," 58,000",United States,"Houston,TX,UnitedStates",,Consumer Staples, Mr. Kevin P. Hourican," March 19, 1969",,,,SYY,,
291,WuXi AppTec Co. Ltd,Diagnostics & Research,$42.25 B," 34,912",China,"Shanghai,China",,Healthcare, Dr. Ge  Li Ph.D.,,,,,603259,,
