,tab1,attr1,tab2,attr2,prob,matcher
174,table_1,founded,forbes.csv,Founded,0.8216928,Coma
175,table_1,revenue,forbes.csv,Revenue,0.8216928,Coma
176,table_1,name,forbes.csv,Name,0.812239,Coma
177,table_1,headquarters,igmm-disfold.com.json,headquarters,0.89805746,Coma
178,table_1,employees,igmm-disfold.com.json,employees,0.8926747,Coma
179,table_1,industry,igmm-disfold.com.json,industry,0.89048165,Coma
180,table_1,country,igmm-disfold.com.json,country,0.8880307,Coma
181,table_1,founded,igmm-disfold.com.json,founded,0.8880307,Coma
182,table_1,revenue,igmm-disfold.com.json,revenue,0.8880307,Coma
183,table_1,sector,igmm-disfold.com.json,sector,0.88527334,Coma
184,table_1,name,igmm-disfold.com.json,name,0.8785769,Coma
185,table_1,ceo,igmm-disfold.com.json,ceo,0.87445605,Coma
186,table_1,market_cap,igmm-disfold.com.json,marketcap,0.7529399,Coma
187,table_1,stock,igmm-disfold.com.json,rank,0.37976104,Coma
188,table_1,stock,igmm-disfold.com.json,link,0.37976104,Coma
189,table_1,country,ft.csv,Country,0.80577993,Coma
190,table_1,sector,ft.csv,Sector,0.8030226,Coma
191,table_1,name,ft.csv,Name,0.79632616,Coma
192,table_1,revenue,ft.csv,Revenue 2020 (Ã¢Â‚Â¬),0.47461024,Coma
193,table_1,revenue,ft.csv,Revenue 2017 (Ã¢Â‚Â¬),0.47461024,Coma
194,table_1,founded,ft.csv,Founding Year,0.4332309,Coma
195,table_1,founded,ft.csv,Founding Year,0.8503930752771878,DistributionBased
196,table_1,employees,ft.csv,Number of employees 2020,0.42116228,Coma
197,table_1,employees,ft.csv,Number of employees 2020,0.9903581343816301,DistributionBased
198,table_1,employees,ft.csv,Number of employees 2017,0.42116228,Coma
199,table_1,employees,ft.csv,Number of employees 2017,0.985811643503623,DistributionBased
200,table_1,stock,ft.csv,Rank,0.29751033,Coma
201,table_1,country,marketCap2.json,country,0.7904453,Coma
202,table_1,name,marketCap2.json,name,0.78099155,Coma
203,table_1,share_price,marketCap2.json,price,0.48734078,Coma
204,table_1,share_price,marketCap2.json,price,0.9956021115451966,DistributionBased
205,table_1,market_cap,marketCap2.json,pricecap,0.3458412,Coma
206,table_1,market_cap,marketCap2.json,pricecap,0.9733031689982987,DistributionBased
207,table_1,industry,MarScoToc-ambitionbox.com.csv,Industry,0.8044459,Coma
208,table_1,name,MarScoToc-ambitionbox.com.csv,Name,0.79254115,Coma
209,table_1,headquarters,MarScoToc-ambitionbox.com.csv,Headquarter,0.6895665,Coma
210,table_1,founded,MarScoToc-ambitionbox.com.csv,Foundation Year,0.40746793,Coma
211,table_1,ceo,MarScoToc-ambitionbox.com.csv,Ownership,0.2523626,Coma
212,table_1,headquarters,output_disfold.json,headquarters,0.9214065,Coma
213,table_1,market_cap,output_disfold.json,market_cap,0.91799736,Coma
214,table_1,employees,output_disfold.json,employees,0.91602373,Coma
215,table_1,industry,output_disfold.json,industry,0.91383076,Coma
216,table_1,country,output_disfold.json,country,0.9113798,Coma
217,table_1,founded,output_disfold.json,founded,0.9113798,Coma
218,table_1,sector,output_disfold.json,sector,0.9086224,Coma
219,table_1,stock,output_disfold.json,stock,0.90549743,Coma
220,table_1,name,output_disfold.json,name,0.9019259,Coma
221,table_1,ceo,output_disfold.json,ceo,0.8978051,Coma
222,table_1,country,MarScoToc-companiesmarketcap.com.csv,Country,0.8032092,Coma
223,table_1,name,MarScoToc-companiesmarketcap.com.csv,Name,0.79375535,Coma
224,table_1,share_price,MarScoToc-companiesmarketcap.com.csv,Share Price,0.66051364,Coma
225,table_1,market_cap,MarScoToc-companiesmarketcap.com.csv,Master Cap,0.43066013,Coma
226,table_1,market_cap,MarScoToc-companiesmarketcap.com.csv,Master Cap,0.9524757005915377,DistributionBased
227,table_1,stock,MarScoToc-companiesmarketcap.com.csv,Rank,0.29493955,Coma
228,table_1,headquarters,output_globaldata.json,headquarters,0.8792052,Coma
229,table_1,market_cap,output_globaldata.json,market_cap,0.8757961,Coma
230,table_1,industry,output_globaldata.json,industry,0.8716294,Coma
231,table_1,address,output_globaldata.json,address,0.8691785,Coma
232,table_1,website,output_globaldata.json,website,0.8691785,Coma
233,table_1,revenue,output_globaldata.json,revenue,0.8691785,Coma
234,table_1,name,output_globaldata.json,name,0.85972464,Coma
235,table_1,employees,output_globaldata.json,number_of_employees,0.6007961,Coma
236,table_1,industry,MarScoToc-disfold.com.csv,Industry,0.828168,Coma
237,table_1,country,MarScoToc-disfold.com.csv,Country,0.82571703,Coma
238,table_1,sector,MarScoToc-disfold.com.csv,Sector,0.82295966,Coma
239,table_1,name,MarScoToc-disfold.com.csv,Name,0.8162632,Coma
240,table_1,market_cap,MarScoToc-disfold.com.csv,MasterCap,0.4654311,Coma
241,table_1,name,output_govuk_bigsize.json,name,0.7488152,Coma
242,table_1,address,output_govuk_bigsize.json,registered_office_address,0.3718311,Coma
243,table_1,country,output_govuk_bigsize.json,company_type,0.22908676,Coma
244,table_1,headquarters,MarScoToc-wikipedia.org.csv,headQuarters,0.849867,Coma
245,table_1,industry,MarScoToc-wikipedia.org.csv,Industry,0.84229124,Coma
246,table_1,founded,MarScoToc-wikipedia.org.csv,Founded,0.8398403,Coma
247,table_1,name,MarScoToc-wikipedia.org.csv,Name,0.8303864,Coma
248,table_1,area_served,MarScoToc-wikipedia.org.csv,Area Served,0.69714475,Coma
249,table_1,headquarters,output_wiki.json,headquarters,0.8636485,Coma
250,table_1,industry,output_wiki.json,industry,0.85607266,Coma
251,table_1,founders,output_wiki.json,founders,0.85607266,Coma
252,table_1,founded,output_wiki.json,founded,0.8536217,Coma
253,table_1,website,output_wiki.json,website,0.8536217,Coma
254,table_1,revenue,output_wiki.json,revenue,0.8536217,Coma
255,table_1,name,output_wiki.json,name,0.8441679,Coma
256,table_1,employees,output_wiki.json,number_of_employees,0.58523935,Coma
257,table_1,sector,output_wiki.json,services,0.3683276,Coma
258,table_1,country,silvestri-disfold.com.csv,country,0.82727784,Coma
259,table_1,sector,silvestri-disfold.com.csv,sector,0.82452047,Coma
260,table_1,stock,silvestri-disfold.com.csv,stock,0.82139546,Coma
261,table_1,name,silvestri-disfold.com.csv,name,0.817824,Coma
262,table_1,market_cap,silvestri-disfold.com.csv,market_value_apr_2022,0.43904254,Coma
263,table_1,market_cap,silvestri-disfold.com.csv,market_value_apr_2022,0.8601480112951192,DistributionBased
264,table_1,industry,slytherin-value.today.json,industry,0.85187376,Coma
265,table_1,country,slytherin-value.today.json,country,0.8494228,Coma
266,table_1,founded,slytherin-value.today.json,founded,0.8494228,Coma
267,table_1,revenue,slytherin-value.today.json,revenue,0.8494228,Coma
268,table_1,name,slytherin-value.today.json,name,0.839969,Coma
269,table_1,ceo,slytherin-value.today.json,ceo,0.83584815,Coma
270,table_1,stock,slytherin-value.today.json,link,0.3411532,Coma
271,table_1,stock,slytherin-value.today.json,rank,0.3411532,Coma
272,table_1,country,silvestri-forbes.com.csv,country,0.7951269,Coma
273,table_1,name,silvestri-forbes.com.csv,name,0.7856731,Coma
